News Channel,News Time,News text,Sentiment,Tweet Ago,Tweet ID,neg,neutral,pos
@BBCWorld,2018-07-17 15:17:31+00:00,"RT @bbcideas: A lot of us use emojis to sum up how we feel, but is social media📱 💻 messing with our emotions? 🤔 #WorldEmojiDay

More on how…",0.0,25,1019239682918486018,0.0,1.0,0.0
@BBCWorld,2018-07-17 14:22:10+00:00,Houston police arrest 'mattress murders' suspect https://t.co/y1xHSYWP0e,-0.8225,26,1019225755182608385,0.683,0.317,0.0
@BBCWorld,2018-07-17 14:00:39+00:00,"Las Vegas shooting: Mandalay Bay hotel owner sues 1,000 victims https://t.co/qSs8L1JYYW",-0.3182,27,1019220336712273920,0.187,0.813,0.0
@BBCWorld,2018-07-17 13:46:55+00:00,Amlo: How often do world leaders take a pay cut? https://t.co/8ARPG1wHY4,-0.3612,28,1019216881453010947,0.304,0.696,0.0
@BBCWorld,2018-07-17 13:20:22+00:00,Nelson Chamisa - Zimbabwe's young political crusader https://t.co/PsamM6xNNC,0.0,29,1019210202296528896,0.0,1.0,0.0
@BBCWorld,2018-07-17 13:12:53+00:00,Texas house guest 'bit off and swallowed woman's nose' https://t.co/RJR4VAoK8e,0.0,30,1019208317795741696,0.0,1.0,0.0
@BBCWorld,2018-07-17 13:04:22+00:00,Woman killed by cattle at County Galway farm https://t.co/oM9kkoo7pW,-0.6705,31,1019206173793378305,0.36,0.64,0.0
@BBCWorld,2018-07-17 12:58:47+00:00,"RT @bbcideas: In celebration of 🌍 #WorldEmojiDay 🎉: Was the 😊 the first emoticon? 🤔

More fun films about symbols ✌️: https://t.co/kj8U50vu…",0.8622,32,1019204767862677504,0.0,0.73,0.27
@BBCWorld,2018-07-17 12:40:11+00:00,"Africa won the #WorldCup for France, says Venezuela's President Maduro https://t.co/o927nYjIKS https://t.co/z7nno9COnL",0.5719,33,1019200087291985920,0.0,0.748,0.252
@BBCWorld,2018-07-17 12:23:16+00:00,Amsterdam fire chief Leen Schaap 'had death threats from staff' https://t.co/zPNFEf82rC,-0.8442,34,1019195832808169473,0.532,0.468,0.0
@BBCWorld,2018-07-17 12:00:30+00:00,Ryanair flights cancelled over strike action https://t.co/uZn1yGv23w,-0.3612,35,1019190102596227073,0.412,0.588,0.0
@BBCWorld,2018-07-17 11:55:08+00:00,Egypt to regulate popular social media users https://t.co/kPR3DdN0Dw,0.4215,36,1019188749069144064,0.0,0.714,0.286
@BBCWorld,2018-07-17 11:18:02+00:00,Barack Obama to deliver 2018 Nelson Mandela lecture https://t.co/xGaGxu7Pbg,0.0,37,1019179414733623297,0.0,1.0,0.0
@BBCWorld,2018-07-17 11:07:52+00:00,Israel halts fuel deliveries to Gaza over arson attacks https://t.co/HJK4LoUsA5,-0.4404,38,1019176856518610944,0.244,0.756,0.0
@BBCWorld,2018-07-17 11:03:19+00:00,"😊🌍💶Ⓜ️🅾️🏑ℹ️📅
(Happy #WorldEmojiDay)

https://t.co/J72ZLLDOWZ",0.0,39,1019175709275717632,0.0,1.0,0.0
@BBCWorld,2018-07-17 10:55:09+00:00,Trump-Putin: Your toolkit to help understand the story https://t.co/mRUql0WNYL,0.4019,40,1019173657720041472,0.0,0.748,0.252
@BBCWorld,2018-07-17 10:35:44+00:00,RT @BBCMonitoring: Thread: #HelsinkiSummit – the view from Russia. https://t.co/148Nr2lFMt,0.0,41,1019168768910680065,0.0,1.0,0.0
@BBCWorld,2018-07-17 10:30:32+00:00,Apple unveils its latest emojis on World Emoji Day https://t.co/ad5iZdbsAm,0.0,42,1019167461923532800,0.0,1.0,0.0
@BBCWorld,2018-07-17 10:22:17+00:00,Pussy Riot: Russia condemned by European rights court https://t.co/1jmWPtck9v,-0.7579,43,1019165386166677504,0.481,0.519,0.0
@BBCWorld,2018-07-17 09:48:28+00:00,Cuba plane crash: Leasing company blames Mexican crew https://t.co/2vr2oV529W,-0.6597,44,1019156873092747264,0.435,0.565,0.0
@BBCWorld,2018-07-17 09:38:16+00:00,"23 hurt as Hawaii tour boat hit by 'lava bomb'

https://t.co/tOu0XA4SsF https://t.co/YvbLlbRbRW",-0.765,45,1019154308003135488,0.398,0.602,0.0
@BBCWorld,2018-07-17 09:27:00+00:00,Kim Jong-un blasts delays in North Korean economic progress https://t.co/bJisllxNcL,0.4215,46,1019151474071306240,0.0,0.763,0.237
@BBCWorld,2018-07-17 09:01:44+00:00,Air disasters timeline https://t.co/xurGYlZWzk,-0.5574,47,1019145113585545217,0.545,0.455,0.0
@BBCWorld,2018-07-17 08:51:42+00:00,Breastfeeding model causes stir on catwalk https://t.co/Mv5cMOvZK6,0.0,48,1019142590195752960,0.0,1.0,0.0
@BBCWorld,2018-07-17 07:40:27+00:00,Mother Teresa India homes in 'baby trade' probe https://t.co/ldWjaL3mkN,0.0,49,1019124657021169664,0.0,1.0,0.0
@BBCWorld,2018-07-17 06:52:51+00:00,Trump-Putin summit: Russian press praise Putin for 'outmanoeuvring' Trump https://t.co/OvsYJ1IFId,0.5574,50,1019112679821250566,0.0,0.714,0.286
@BBCWorld,2018-07-17 06:39:39+00:00,"Cave rescue: Australians to receive honours, PM Turnbull says https://t.co/xYuPwbQsAD",0.7579,51,1019109355759767557,0.0,0.552,0.448
@BBCWorld,2018-07-17 05:27:16+00:00,The search for India's first Olympic medallist https://t.co/LH5bamQPxD,0.0,52,1019091141264924672,0.0,1.0,0.0
@BBCWorld,2018-07-17 04:14:07+00:00,China's most expensive film pulled after opening weekend https://t.co/zqBGNrbdm3,0.0,53,1019072732724695040,0.0,1.0,0.0
@BBCWorld,2018-07-17 01:37:43+00:00,Trump-Putin summit: US president under fire over poll meddling comments https://t.co/nUQAsdSPaO,-0.34,54,1019033374730661888,0.194,0.806,0.0
@BBCWorld,2018-07-17 01:35:26+00:00,Usain Bolt may play football trial in Australia https://t.co/d0n9teiMFu,0.34,55,1019032800454901761,0.0,0.769,0.231
@BBCWorld,2018-07-16 23:27:46+00:00,'Billion dollar ransom': Did Qatar pay record sum? https://t.co/HxlBA9kebQ,-0.1027,56,1019000668739264512,0.149,0.851,0.0
@BBCWorld,2018-07-16 22:44:30+00:00,US nuclear materials stolen last year are still missing https://t.co/D77hbTgzIk,-0.6597,57,1018989783400542208,0.403,0.597,0.0
@BBCWorld,2018-07-16 21:49:15+00:00,"RT @BBCSport: An unusual arrival! 

Diego Maradona has been presented as Dinamo Brest chairman in colourful fashion.

Full story including…",0.0,58,1018975877487579137,0.0,1.0,0.0
@BBCWorld,2018-07-16 21:15:05+00:00,Kilauea volcano: Flying lava injures 13 in Hawaii https://t.co/X3gUoS4KJJ,0.0,59,1018967279093141504,0.0,1.0,0.0
@BBCWorld,2018-07-16 21:03:17+00:00,RT @BBCNews: 🎄🎄🎄 https://t.co/ri02D4eTkw,0.0,60,1018964308032540674,0.0,1.0,0.0
@BBCWorld,2018-07-16 20:23:37+00:00,"French fans give #worldcup winners a heroes' welcome

https://t.co/qWNG6JvpGH

#championdumonde2018 https://t.co/NEglTrmRYw",0.8555,61,1018954325182304258,0.0,0.427,0.573
@BBCWorld,2018-07-16 20:11:21+00:00,"RT @BBCSport: What a shot! 😍

11 iconic photos from the #WorldCup: https://t.co/GxLEoWbeWE https://t.co/1525wwC3Gf",0.5093,62,1018951239625854976,0.0,0.82,0.18
@BBCWorld,2018-07-16 19:28:16+00:00,US charge Russian woman with conspiring to act as foreign agent https://t.co/LYvHhple3R,0.0,63,1018940399413547010,0.0,1.0,0.0
@BBCWorld,2018-07-16 19:23:04+00:00,"Trump-Putin summit: After Helsinki, the fallout at home https://t.co/IiRlNBukUn",0.0,64,1018939091080110080,0.0,1.0,0.0
@BBCWorld,2018-07-16 18:57:07+00:00,Police: Woman stabs man after he exposes himself https://t.co/62mfStjNRg,-0.5267,65,1018932559898710019,0.386,0.614,0.0
@BBCWorld,2018-07-16 18:46:31+00:00,Celebrating the life of the boy who wrote his own obituary https://t.co/d7CUalCbWr,0.5719,66,1018929890261962754,0.0,0.748,0.252
@BBCWorld,2018-07-16 17:21:03+00:00,"The handshake 🤝, the protest 😲, the football ⚽

Analysis and updates after today's #TrumpPutin meeting… https://t.co/H1TwGEYOt2",-0.25,67,1018908380994457601,0.105,0.895,0.0
@BBCWorld,2018-07-16 17:18:05+00:00,The Crown: First look at Olivia Colman's new Queen https://t.co/UQC0Qm9nNW,0.0,68,1018907634722902016,0.0,1.0,0.0
@BBCWorld,2018-07-16 16:53:41+00:00,"RT @BBCSport: How do you feel about leaving Real Madrid, Cristiano?

""I'm not sad actually.""

#CR7day presentation LIVE: https://t.co/eP7Zy…",0.3724,69,1018901494182043648,0.0,0.876,0.124
@BBCWorld,2018-07-16 16:48:39+00:00,RT @BBCTech: Amazon Alexa: is it friends with your kids? https://t.co/Gc52mUutDo,0.5859,70,1018900229444300801,0.0,0.652,0.348
@BBCWorld,2018-07-16 16:47:10+00:00,"RT @BBCSport: “Usually players of my age go to China or Qatar.” 👀

The #CR7day presentation has hit the ground running!

Live: https://t.co…",0.0,71,1018899853731123200,0.0,1.0,0.0
@BBCWorld,2018-07-16 16:36:47+00:00,Downward spiral: Nicaragua's worsening crisis https://t.co/9qc0rzGprJ,-0.7964,72,1018897244173619202,0.64,0.36,0.0
@BBCWorld,2018-07-16 16:31:31+00:00,April Tinsley: DNA snares man in Indiana girl's 1988 murder https://t.co/oGvyx2NRgn,-0.6908,73,1018895916638658560,0.32,0.68,0.0
@BBCWorld,2018-07-16 16:23:37+00:00,Egypt military officers get immunity over 2013 crackdown https://t.co/RTo0ksuAFb,0.0,74,1018893930081943553,0.0,1.0,0.0
@BBCWorld,2018-07-16 16:18:43+00:00,Boko Haram in Nigeria: Split emerges over leadership https://t.co/3LFOp5z45J,0.0,75,1018892695971028993,0.0,1.0,0.0
@BBCWorld,2018-07-16 16:11:36+00:00,Helsinki summit: Trump says no reason for Russia to meddle https://t.co/O4nFCPdBkG,-0.296,76,1018890904332062720,0.18,0.82,0.0
@BBCWorld,2018-07-16 15:57:22+00:00,"""The ball is in your court"" - President Putin hands @POTUS a #worldcup ⚽ 

Follow #HelsinkiSummit updates:… https://t.co/0UIHhLITcA",0.0,77,1018887323109347328,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:52:43+00:00,"We agreed to help the people of Syria in a ""humanitarian basis"" - President Trump 

Follow #HelsinkiSummit updates:… https://t.co/D1g4HBj5bQ",0.5859,78,1018886152663658497,0.0,0.758,0.242
@BBCWorld,2018-07-16 15:44:09+00:00,"""There was no collusion in the campaign""

Donald Trump denies claims of Russian interference in 2016 US election an… https://t.co/dj2Y9Hv8wq",-0.6124,79,1018883997198192641,0.217,0.783,0.0
@BBCWorld,2018-07-16 15:40:28+00:00,"The US has been ""foolish, I think we've all been foolish, we should have had this dialogue a long time ago"" - Presi… https://t.co/zncAnx7wRc",-0.2732,80,1018883071838322693,0.095,0.905,0.0
@BBCWorld,2018-07-16 15:35:45+00:00,"""I felt this was a message best delivered in person""

President Trump says he spent a ""great deal of time"" speaking… https://t.co/RXJPfORSXq",0.8519,81,1018881883390689280,0.0,0.684,0.316
@BBCWorld,2018-07-16 15:29:14+00:00,"Trump-Putin summit  

Follow coverage: https://t.co/rTYHJbyt3q https://t.co/uG0MdmiHrg",0.0,82,1018880242017079300,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:28:39+00:00,"President Trump says US relationship with Russia has changed after talks with President Putin in Helsinki   

Follo… https://t.co/TvQjXy7OIW",0.0,83,1018880094293512192,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:27:46+00:00,"""The Russian state has never interfered and is not going to interfere in internal American affairs"" - President Put… https://t.co/VzJiFDTVnp",0.0,84,1018879873786363905,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:25:41+00:00,Frozen in time: Inside Eritrea's embassy https://t.co/M8gtbDBLGg,0.0,85,1018879349943095299,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:23:08+00:00,RT @BBCJonSopel: Deeply productive dialogue says @realDonaldTrump of his talks with #VladimirPutin #TrumpPutinSummit2018,0.0,86,1018878709770661889,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:22:41+00:00,"Trump-Putin summit  

Follow coverage: https://t.co/rTYHJbyt3q https://t.co/YkvDhAK2QP",0.0,87,1018878594695786496,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:21:19+00:00,"Today's negotiations reflected our ""mutual desire"" to improve relations - President Putin on Helsinki talks with Pr… https://t.co/U3Tk7nm4Mk",0.6808,88,1018878252532678657,0.0,0.728,0.272
@BBCWorld,2018-07-16 15:18:21+00:00,Trump raises $90m for re-election campaign https://t.co/bw8mUi6BIW,0.0,89,1018877502167580672,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:17:26+00:00,RT @BBCSteveR: Just happened. Security removes someone from the hall minutes before the start of the Putin-Trump news conference. https://t…,0.34,90,1018877271782723584,0.0,0.888,0.112
@BBCWorld,2018-07-16 15:17:24+00:00,"Negotiations with President Trump were ""held in an open and candid atmosphere"" - President Putin tells news confere… https://t.co/rKmhlfkanO",0.0,91,1018877265390649344,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:13:21+00:00,RT @BBCJonSopel: And so we begin. #TrumpPutinSummit https://t.co/7ehvhyyas4,0.0,92,1018876247278080001,0.0,1.0,0.0
@BBCWorld,2018-07-16 15:12:32+00:00,"Protester with banner saying ""nuclear ban treaty"" removed from Trump &amp; Putin news conference in Helsinki

Live cove… https://t.co/TSqhsSVVzM",-0.5574,93,1018876039668195328,0.167,0.833,0.0
@BBCWorld,2018-07-16 15:07:57+00:00,RT @BBCJonSopel: US Journalist from The Nation  sitting next to me  is being asked to go with secret service before start of news conf. Esc…,0.0,94,1018874887706988545,0.0,1.0,0.0
@BBCWorld,2018-07-16 14:52:31+00:00,Ray Emery: Former NHL goalie dies drowning in Lake Ontario https://t.co/FtaAzRyIG0,0.0,95,1018871001202024448,0.0,1.0,0.0
@BBCWorld,2018-07-16 14:50:44+00:00,"RT @BBCEarth: How could we dedicate #WorldSnakeDay to anything else? 🐍

#PlanetEarth2 https://t.co/B4YxSxqmvm",0.0,96,1018870555263623168,0.0,1.0,0.0
@BBCWorld,2018-07-16 14:34:31+00:00,"Follow the latest developments as Trump and Putin meet in Helsinki

https://t.co/9flH1Fz1eG https://t.co/TAsNBFLFjx",0.0,97,1018866473132052480,0.0,1.0,0.0
@BBCWorld,2018-07-16 14:19:41+00:00,France's top honour for World Cup team https://t.co/W77xL7YEjx,0.6705,98,1018862738926440449,0.0,0.522,0.478
@BBCWorld,2018-07-16 14:01:27+00:00,Racially abused German blocked by Facebook for Austria post https://t.co/RcFxhmXnff,-0.6597,99,1018858152467591168,0.403,0.597,0.0
@BBCWorld,2018-07-16 13:40:58+00:00,"RT @BBCSport: 153 ➡️ 28

Serena Williams has returned to the world's top 30 after reaching the #Wimbledon final. 

👉 https://t.co/0CbhTrKYM…",0.3818,100,1018852994891304962,0.0,0.865,0.135
@CBSNews,2018-07-16 13:29:43+00:00,"CVS apologizes after white manager calls cops on black customer, accusing her of trying to use a phony coupon.… https://t.co/2Bhe4V5pxZ",0.2023,1,1018850165980090369,0.08,0.802,0.118
@CBSNews,2018-07-16 13:29:42+00:00,"RT @CBSThisMorning: Watch @ReeveWill discuss overcoming such tremendous grief at a young age, pursuing a career in sports journalism and co…",-0.4939,2,1018850163463544832,0.151,0.849,0.0
@CBSNews,2018-07-16 13:14:35+00:00,Jared Kushner's family firm accused of using loud construction to push out tenants https://t.co/JeNM2ZTYOf https://t.co/UzfwR7Tpf1,-0.296,3,1018846355882733568,0.136,0.864,0.0
@CBSNews,2018-07-16 13:14:03+00:00,RT @CBSThisMorning: Online retail giant @Amazon will give Prime members access to more than one million deals over 36 hours including disco…,0.0,4,1018846223019708416,0.0,1.0,0.0
@CBSNews,2018-07-16 12:59:34+00:00,U.S. firm Mercury LLC tried to enlist ambassadors to help Russian company https://t.co/7ChYYkhgcF https://t.co/XsLoRcxftH,0.4019,5,1018842576307343360,0.0,0.828,0.172
@CBSNews,2018-07-16 12:44:41+00:00,"President Trump says DNC ""should be ashamed of themselves"" for getting hacked https://t.co/oYgyTg8srP https://t.co/rOxsg4Cfgf",-0.7003,6,1018838831087439872,0.326,0.674,0.0
@CBSNews,2018-07-16 12:29:53+00:00,What President Trump is up against in negotiations with Russian President Vladimir Putin https://t.co/AgtqHDHqoT https://t.co/jqYXzEoANj,0.0,7,1018835109485645824,0.0,1.0,0.0
@CBSNews,2018-07-16 12:15:02+00:00,"RT @CBSThisMorning: NEW: At the #NATO summit, @ianbremmer's sources say President Trump reportedly told Turkish President Recep Tayyip Erdo…",0.0,8,1018831373019287553,0.0,1.0,0.0
@CBSNews,2018-07-16 12:14:35+00:00,Former President Barack Obama is in Kenya for the first time post-presidency https://t.co/magwm0Kpb2 https://t.co/aw9SqXCN0d,0.0,9,1018831257621458944,0.0,1.0,0.0
@CBSNews,2018-07-16 11:59:41+00:00,"President Trump tells Piers Morgan about his meeting with ""incredible"" queen, revealing slightly more detail than l… https://t.co/4JvH3IEh5Y",0.0,10,1018827508760940544,0.0,1.0,0.0
@CBSNews,2018-07-16 11:40:50+00:00,".@elizapalmer joins with a look at what it means to negotiate with Putin. “He’s a tough guy to read,” Palmer report… https://t.co/i8r0RR6ZE7",-0.128,11,1018822763635724288,0.073,0.927,0.0
@CBSNews,2018-07-16 11:38:56+00:00,"President Trump sat down with @CBSEveningNews anchor @JeffGlor ahead of his meeting with Pres. Putin. 
“Putin is no… https://t.co/qy0cxLwObQ",0.0,12,1018822287733161985,0.0,1.0,0.0
@CBSNews,2018-07-16 11:29:30+00:00,"“President Putin is prepared. He is a trained KGB officer, he knows how negotiations work. And this is an uphill ba… https://t.co/ESSosBDPmw",0.2263,13,1018819912683409408,0.0,0.913,0.087
@CBSNews,2018-07-16 11:24:24+00:00,We'll have more of the summit in Helsinki on @CBSThisMorning and we'll bring you live coverage on Pres. Trump and P… https://t.co/fs90QgQ3cp,0.0,14,1018818628156907520,0.0,1.0,0.0
@CBSNews,2018-07-16 11:22:35+00:00,"“Talking about the hope for an extraordinary relationship with Russia sets a pretty high bar,” @MajorCBS reports af… https://t.co/Xhf1dUlZfg",0.7269,15,1018818172751896576,0.0,0.724,0.276
@CBSNews,2018-07-16 11:21:05+00:00,"""Getting along with Russia is a good thing. The question is, at what cost?"" @elizapalmer reports… https://t.co/m47wr8wcLs",0.4404,16,1018817794648035328,0.0,0.838,0.162
@CBSNews,2018-07-16 11:17:52+00:00,.@POTUS: I really think the world wants to see us get along. We are the two great nuclear powers. We have 90% of th… https://t.co/wjFZyxOhRh,0.6249,17,1018816983666778112,0.0,0.849,0.151
@CBSNews,2018-07-16 11:16:42+00:00,"“Frankly, we have not been getting along very well for the last number of years. I've not been here too long, it's… https://t.co/2urx6MueMU",0.4005,18,1018816690002497537,0.0,0.85,0.15
@CBSNews,2018-07-16 11:15:19+00:00,“We have discussions on everything from trade to military to missiles to nuclear to China. We'll be talking a littl… https://t.co/S7D4Pna9zH,0.0,19,1018816342143664128,0.0,1.0,0.0
@CBSNews,2018-07-16 11:13:15+00:00,"President Trump congratulates Russian President Putin on hosting the World Cup: ""[It was] one of the best ever from… https://t.co/4Wa1LTtZZK",0.6369,20,1018815823350239232,0.0,0.819,0.181
@CBSNews,2018-07-16 11:11:19+00:00,WATCH: President Trump and President Putin sit down to address the media together ahead of summit… https://t.co/RT8el587xz,0.0,21,1018815337444278273,0.0,1.0,0.0
@CBSNews,2018-07-16 11:02:18+00:00,"“Never before in history has a U.S. president spent time alone with the Russian president. In fact, according to th… https://t.co/zt0yTBJ3Jl",-0.25,22,1018813065087868928,0.095,0.905,0.0
@CBSNews,2018-07-16 10:59:48+00:00,"WATCH: President Trump and First lady Melania Trump arrive at the presidential palace in Helsinki. ""He was schedule… https://t.co/OXeTbuMnOL",0.0,23,1018812438446305280,0.0,1.0,0.0
@CBSNews,2018-07-16 10:56:50+00:00,"SPECIAL REPORT: President Trump is meeting face to face with Russian President Vladimir Putin, 3 days after 12 Russ… https://t.co/m2vxj32RFx",0.5319,24,1018811693235875840,0.0,0.84,0.16
@CBSNews,2018-07-16 10:50:28+00:00,RT @CBSThisMorning: WATCH: A preview of what's ahead on @CBSThisMorning: https://t.co/wF3KsKlDET,0.0,25,1018810090915270656,0.0,1.0,0.0
@CBSNews,2018-07-16 10:11:38+00:00,"WATCH: President Putin arrives in Helsinki, Finland, slightly behind schedule for today's summit with President Tru… https://t.co/oKyGTcIfeg",0.0,26,1018800314542063616,0.0,1.0,0.0
@CBSNews,2018-07-16 10:05:50+00:00,We are moments away from the highly-watched meeting between President Trump and Russian President Putin at the Finn… https://t.co/P0ZrFyMFJV,0.0,27,1018798858950840320,0.0,1.0,0.0
@CBSNews,2018-07-16 10:03:42+00:00,"Ahead of summit with President Vladimir Putin, @POTUS tweeted: ""Our relationship with Russia has NEVER been worse t… https://t.co/bLBFwcrHfp",0.3724,28,1018798320637153280,0.0,0.876,0.124
@CBSNews,2018-07-16 10:03:03+00:00,History of U.S. Presidents meeting the Queen https://t.co/oBYlDZYIBV https://t.co/FmCYQwRm3W,0.0,29,1018798155557687296,0.0,1.0,0.0
@CBSNews,2018-07-16 09:59:56+00:00,Commentary: Welcome to McCarthyism 2.0 https://t.co/ywJT5zsYkM https://t.co/iUtWIwW91d,0.4588,30,1018797372816666625,0.0,0.667,0.333
@CBSNews,2018-07-16 09:54:05+00:00,Amazon Prime Day vs Black Friday: 1 out of 3 items cost more https://t.co/OxbCLNgdHW https://t.co/xR7PSkbLpF,0.1779,31,1018795897981952001,0.0,0.876,0.124
@CBSNews,2018-07-16 09:48:04+00:00,Soccer finally scores in the U.S. https://t.co/NyuLIscP6Z https://t.co/fUG1QqfiaF,0.0,32,1018794384270200832,0.0,1.0,0.0
@CBSNews,2018-07-16 09:45:55+00:00,WATCH: CBS News will have special coverage of the Helsinki summit between President Trump and President Putin. Watc… https://t.co/QyWy3FwLJN,0.4019,33,1018793843284762625,0.0,0.87,0.13
@CBSNews,2018-07-16 09:39:44+00:00,Trump-Putin meeting: @CBSThisMorning co-anchor @NorahODonnell reports that the tone being pushed by President Trump… https://t.co/IDylw1NdBP,0.0,34,1018792288212877313,0.0,1.0,0.0
@CBSNews,2018-07-16 09:33:03+00:00,Meal delivery apps changing dining industry? https://t.co/M13P48K3NQ https://t.co/JH9hrNR7Cp,0.0,35,1018790607207190528,0.0,1.0,0.0
@CBSNews,2018-07-16 09:24:02+00:00,"All eyes on Helsinki as Trump, Putin prepare to meet  -- live updates https://t.co/bhekJyzQ18 https://t.co/CjgusiKPTw",0.0,36,1018788336000004097,0.0,1.0,0.0
@CBSNews,2018-07-16 09:18:04+00:00,Chicago police clash with angry residents after deadly shooting https://t.co/yaVT9CONg0 https://t.co/R15B8K3MOc,-0.5106,37,1018786834531397632,0.248,0.752,0.0
@CBSNews,2018-07-16 09:16:06+00:00,Barack Obama in Kenya for 1st time post-presidency https://t.co/P6Lpso3NtP https://t.co/Q6zf9MgAgT,0.0,38,1018786341100965889,0.0,1.0,0.0
